Conditions,flow_rate,precipitation,depth1,depth2,depth3,depth4
a,177.1501427,0,2.968,0.873,0.264,0.184
a,175.8387986,0,2.968,0.863,0.26,0.182
a,174.541396,0,2.968,0.849,0.257,0.181
a,173.2580767,0,2.968,0.836,0.254,0.18
a,171.9889727,0,2.969,0.825,0.251,0.179
a,170.7342061,0,2.969,0.797,0.249,0.177
a,169.4938896,0,2.969,0.805,0.246,0.176
a,168.2681266,0,2.969,0.784,0.243,0.175
a,167.0570111,0,2.969,0.789,0.24,0.173
a,165.8606278,0,2.969,0.764,0.237,0.172
a,164.6790529,0,2.968,0.757,0.234,0.171
a,163.5123533,0,2.968,0.737,0.231,0.169
a,162.3605874,0,2.968,0.733,0.228,0.168
a,161.2238053,0,2.968,0.733,0.225,0.166
a,160.1020485,0,2.967,0.722,0.222,0.165
a,158.9943505,0,2.967,0.71,0.219,0.164
a,157.9027367,0,2.967,0.697,0.216,0.162
a,156.8262248,0,2.966,0.683,0.214,0.161
a,155.7648247,0,2.966,0.67,0.211,0.16
a,154.718539,0,2.965,0.656,0.208,0.158
a,153.6873628,0,2.965,0.642,0.205,0.157
a,152.6712843,0,2.964,0.627,0.202,0.156
a,151.6702846,0,2.963,0.612,0.2,0.154
a,150.6843383,0,2.962,0.597,0.197,0.153
a,149.7134132,0,2.962,0.582,0.195,0.152
a,148.7574708,0,2.961,0.566,0.192,0.15
a,147.8164663,0,2.96,0.551,0.19,0.149
a,146.8903492,0,2.959,0.534,0.187,0.148
a,145.9790628,0,2.958,0.518,0.185,0.146
a,145.082545,0,2.957,0.501,0.182,0.145
a,144.2007281,0,2.956,0.484,0.18,0.144
a,143.3335393,0,2.955,0.466,0.178,0.142
a,142.4809005,0,2.953,0.447,0.175,0.141
a,141.6427288,0,2.952,0.428,0.173,0.14
a,140.8189366,0,2.951,0.409,0.171,0.139
a,140.0094317,0,2.949,0.389,0.169,0.137
a,139.2141175,0,2.948,0.369,0.167,0.136
a,138.4328931,0,2.946,0.348,0.165,0.135
a,137.6656539,0,2.945,0.326,0.163,0.134
a,136.9122911,0,2.943,0.305,0.161,0.132
a,136.1726925,0,2.941,0.283,0.159,0.131
a,135.4467421,0,2.939,0.26,0.157,0.13
a,134.7343207,0,2.938,0.237,0.155,0.129
a,134.034306,0,2.936,0.213,0.153,0.128
a,133.3485726,0,2.934,0.19,0.152,0.126
a,132.6759921,0,2.932,0.165,0.15,0.125
a,132.0164338,0,2.929,0.14,0.148,0.124
a,131.3697639,0,2.927,0.116,0.147,0.123
a,130.7358467,0,2.925,0.092,0.145,0.122
a,130.114544,0,2.922,0.072,0.143,0.121
a,129.5057155,0,2.92,0.052,0.142,0.12
a,128.909219,0,2.917,0.031,0.14,0.119
a,128.3249105,0,2.914,0.01,0.139,0.118
a,127.7526444,0,2.912,0,0.137,0.117
a,127.1922734,0,2.909,0,0.136,0.116
a,126.6436488,0,2.906,0,0.134,0.115
a,126.1066208,0,2.902,0,0.133,0.114
a,125.5810384,0,2.899,0,0.132,0.113
a,125.0667494,0,2.896,0,0.13,0.112
a,124.5636008,0,2.892,0,0.129,0.111
a,124.0714391,0,2.889,0,0.128,0.11
a,123.5901096,0,2.885,0,0.126,0.109
a,123.1194574,0,2.881,0,0.125,0.108
a,122.6593272,0,2.877,0,0.124,0.107
a,122.2095631,0,2.873,0,0.123,0.106
a,121.7700091,0,2.869,0,0.122,0.105
a,121.3405091,0,2.865,0,0.12,0.104
a,120.9209069,0,2.861,0,0.119,0.103
a,120.5110464,0,2.856,0,0.118,0.103
a,120.1107716,0,2.852,0,0.117,0.102
a,119.7199267,0,2.848,0,0.116,0.101
a,119.3383564,0,2.843,0,0.115,0.1
a,118.9659056,0,2.839,0,0.114,0.099
a,118.6024197,0,2.834,0,0.113,0.098
a,118.2477449,0,2.83,0,0.112,0.098
a,117.9017276,0,2.826,0,0.111,0.097
a,117.5642153,0,2.821,0,0.11,0.096
a,117.2350562,0,2.817,0,0.109,0.095
a,116.9140991,0,2.812,0,0.108,0.095
a,116.6011939,0,2.808,0,0.107,0.094
a,116.2961916,0,2.804,0,0.106,0.093
a,115.9989438,0,2.799,0,0.105,0.092
a,115.7093036,0,2.795,0,0.104,0.092
a,115.4271249,0,2.791,0,0.103,0.091
a,115.1522631,0,2.787,0,0.102,0.09
a,114.8835745,0,2.783,0,0.101,0.09
a,114.622917,0,2.779,0,0.1,0.089
a,114.3691495,0,2.775,0,0.1,0.088
a,114.1221324,0,2.771,0,0.099,0.088
a,113.8817276,0,2.767,0,0.098,0.087
a,113.6477983,0,2.763,0,0.097,0.086
a,113.4202092,0,2.759,0,0.096,0.086
a,113.1988264,0,2.756,0,0.096,0.085
a,112.9835176,0,2.752,0,0.095,0.085
a,112.7741522,0,2.748,0,0.094,0.084
a,112.570601,0,2.745,0,0.093,0.083
a,112.3727365,0,2.742,0,0.092,0.083
a,112.1804326,0,2.738,0,0.092,0.082
a,111.9935653,0,2.735,0,0.091,0.082
a,111.8120117,0,2.732,0,0.09,0.081
a,111.6356511,0,2.728,0,0.09,0.081
a,111.4643642,0,2.725,0,0.089,0.08
a,106.4812959,0,2.722,0,0.088,0.079
